Numero,Duration,Date,Pulse,Maxpulse,Calories
0,60.00,2020/12/01',110.00,130.00,409.10
1,60.00,2020/12/02',117.00,145.00,479.00
2,60.00,2020/12/03',103.00,135.00,340.00
3,45.00,2020/12/04',109.00,175.00,282.40
4,45.00,2020/12/05',117.00,148.00,406.00
5,60.00,2020/12/06',102.00,127.00,300.00
6,60.00,2020/12/07',110.00,136.00,374.00
7,450.00,2020/12/08',104.00,134.00,253.30
8,30.00,2020/12/09',109.00,133.00,195.10
9,60.00,2020/12/10',98.00,124.00,269.00
10,60.00,2020/12/11',103.00,147.00,329.30
11,60.00,2020/12/12',100.00,120.00,250.70
12,60.00,2020/12/12',100.00,120.00,250.70
13,60.00,2020/12/13',106.00,128.00,345.30
14,60.00,2020/12/14',104.00,132.00,379.30
15,60.00,2020/12/15',98.00,123.00,275.00
16,60.00,2020/12/16',98.00,120.00,215.20
17,60.00,2020/12/17',100.00,120.00,300.00
18,45.00,2020/12/18',90.00,112.00,NaN
19,60.00,2020/12/19',103.00,123.00,323.00
20,45.00,2020/12/20',97.00,125.00,243.00
21,60.00,2020/12/21',108.00,131.00,364.20
22,45.00,NaN,100.00,119.00,282.00
23,60.00,2020/12/23',130.00,101.00,300.00
24,45.00,2020/12/24',105.00,132.00,246.00
25,60.00,2020/12/25',102.00,126.00,334.50
26,60.00,26/12/2020,100.00,120.00,250.00
27,60.00,2020/12/27',92.00,118.00,241.00
28,60.00,2020/12/28',103.00,132.00,NaN
29,60.00,2020/12/29',100.00,132.00,280.00
30,60.00,2020/12/30',102.00,129.00,380.30
31,60.00,2020/12/31',92.00,115.00,243.00